ID,Método,Nome do Método (from Método),Passos,Nome do Passo,Descrição,Resultado
66,M005,Júri Cidadão,Passo 1,"Problema, pergunta e decisão-alvo","Comece definindo qual problema precisa de deliberação e qual decisão será subsidiada. Essa etapa existe para evitar um júri que discute tudo e não entrega nada. Escreva a pergunta do júri em uma frase e, se necessário, liste 2 a 5 opções para o júri escolher, comparar ou priorizar. A pergunta precisa afetar a comunidade e exigir um processo percebido como democrático e transparente.

Exemplo adequado: escolher entre 3 alternativas de melhoria de um serviço e justificar a escolha. 
Qual das alternativas deve ser priorizada pela auditoria do TCU nos próximos anos: 
Opções para comparar :
-Experiências dos usuários e acesso a saúde pública de pacientes com doenças crônicas no SUS; 
-Infraestrutura de escolas de ensino fundamental no interior do Mato Grosso do Sul; 
-Cobertura de 5G em instituições públicas de ensino superior. 

Exemplo insuficiente: ouvir a população sobre todos os problemas de um setor.",Pergunta do júri definida e opções de decisão descritas em formato comparável.
67,M005,Júri Cidadão,Passo 2,Regras do processo e compromisso com o uso do resultado,"Defina como o resultado será usado. Essa etapa existe para evitar frustração e perda de credibilidade. Registre, antes de selecionar jurados: qual é o produto final (relatório com recomendações), quem recebe, quando será publicado e qual será a forma de devolutiva aos participantes do júri. A regra prática é simples: as recomendações precisam ser seguidas ou precisa haver justificativa detalhada para não seguir. 

Por exemplo: se o TCU convidar um júri a deliberar sobre a priorização de temas de auditoria, ele não estará necessariamente vinculado à decisão do Júri. Entretanto, para a manutenção da credibilidade do processo, é necessário que exista uma devolutiva do processo decisório (dificuldade de operacionalizar, custos, etc).

","Regras de uso do resultado definidas, com compromisso de publicação e resposta formal às recomendações."
68,M005,Júri Cidadão,Passo 3,Seleção dos jurados (representatividade e equidade),"Selecione um grupo pequeno e representativo. Essa etapa existe para garantir legitimidade e reduzir captura por grupos organizados. Use seleção aleatória ou estratificada e registre o método. Uma forma possível de seleção é o método de Loteria Cívica, presente neste toolkit. 

Garanta que o grupo seja percebido como representativo e inclua partes da comunidade que costumam ficar de fora. 

Exemplo adequado: sorteio estratificado com critérios simples (idade, gênero, território) e regra para não “zerar” grupos historicamente excluídos. 
Exemplo inadequado: jurados escolhidos por indicação, porque isso aumenta viés e desconfiança.","Jurados selecionados por processo transparente (aleatório ou estratificado), com registro de critérios e medidas de inclusão."
69,M005,Júri Cidadão,Passo 4,Confirmação de participação e condições práticas,"Confirme a disponibilidade e as condições de participação. Essa etapa existe porque o júri exige tempo e pode durar de 2 a 4 dias, então desistência de última hora prejudica o processo.
Confirme por escrito: presença nas datas, entendimento do compromisso e autorização para registro (se houver filmagem).
Quando aplicável, preveja pagamento de taxa e apoios básicos (alimentação, acessibilidade, intérprete). 

Nota de Atenção: sinal de falha é desistência alta antes do início. Se isso acontecer, revise barreiras (agenda, transporte, apoio) e convoque suplentes mantendo o mesmo perfil.","Participação confirmada, apoios definidos e plano de suplência pronto."
70,M005,Júri Cidadão,Passo 5,Caderno de informações e alternativas,"Prepare material de base para jurados não especialistas decidirem com informação suficiente. Essa etapa existe para evitar decisão sem contexto. Produza um caderno curto com: contexto, estado atual do debate e as alternativas que serão consideradas. Apresente alternativas com a mesma estrutura para facilitar comparação (o que é, impactos, riscos, custos aproximados e limitações).

Exemplo adequado: 3 alternativas apresentadas em páginas iguais (mesmos tópicos). 
Exemplo inadequado: textos longos e técnicos, sem comparação, que só especialistas entendem.",Caderno de informações entregue e alternativas organizadas em formato comparável.
71,M005,Júri Cidadão,Passo 6,Testemunhas e depoimentos de especialistas,"Selecione testemunhas especialistas para apresentar evidências e responder perguntas. Essa etapa existe para que o júri entenda diferentes perspectivas e possa questionar informações. Defina quem fala sobre o quê e garanta diversidade de visões. Planeje tempo para perguntas e respostas dos jurados e para conversa direta entre jurados e especialistas. 

Exemplo adequado: especialistas com pontos de vista diferentes, com tempo igual e perguntas conduzidas pelos jurados. 
Exemplo inadequado: só um lado apresentando e jurados sem espaço real de questionamento.","Lista de testemunhas definida, agenda de depoimentos pronta e regras de perguntas estabelecidas."
72,M005,Júri Cidadão,Passo 7,Moderação independente e regras de deliberação,"Contrate moderação independente para conduzir o processo. Essa etapa existe para equilibrar participação, manter foco na pergunta e lidar com conflito de forma justa. 

Defina regras simples: tempo de fala, como pedir a palavra, como registrar consenso e divergências, e como o grupo tomará decisão (por acordo, por votação, por recomendação conjunta com ressalvas). 

Nota de Atenção: sinal de falha é quando a deliberação vira disputa pessoal ou “debate para vencer”. Se isso acontecer, o moderador deve retomar regras e a pergunta do júri.",Moderador contratado e regras de deliberação aprovadas e comunicadas.
73,M005,Júri Cidadão,Passo 8,Planejamento operacional e infraestrutura,"Planeje a execução do júri com antecedência. Essa etapa existe porque envolve logística, equipe, materiais e, muitas vezes, interesse público externo. Garanta local adequado para o grupo e, quando fizer sentido, espaço para audiência. Planeje equipamentos (projeção, som, microfones), materiais (flipcharts, canetas, cadernos) e equipe de apoio. Se houver registro em vídeo, organize captação e autorização. Se necessário, planeje intérpretes. 

Exemplo adequado: sala com som, projeção e apoio de equipe para materiais e tempo. 
Exemplo inadequado: infraestrutura incompleta que atrasa o júri e compromete entendimento.","Logística concluída (local, equipamentos, equipe, acessibilidade) e cronograma final aprovado."
74,M005,Júri Cidadão,Passo 9 ,Abertura e briefing dos jurados,"Abra o júri alinhando objetivo, pergunta, agenda e regras. Essa etapa existe para nivelar entendimento e reduzir ruído durante os dias de trabalho. Explique como o relatório será produzido, o que precisa constar nele e como será publicado. Reforce que jurados participam como cidadãos, sem alinhamento formal, e que o resultado é coletivo. Se surgirem dúvidas sobre uso do resultado, retome o Passo 2 e reafirme o compromisso de resposta formal.","Jurados orientados, regras entendidas e agenda confirmada."
75,M005,Júri Cidadão,Passo 10,Audiências e registro de evidências,"Conduza as audiências com especialistas seguindo o roteiro. Essa etapa existe para reunir evidência antes da decisão. Registre, de forma simples, os pontos principais, discordâncias entre especialistas e perguntas que ficaram sem resposta. Se um especialista usar linguagem técnica, peça tradução imediata para linguagem simples. 

Nota de Atenção:
Sinal de falha é quando jurados não conseguem repetir com suas palavras o que foi dito. Se isso acontecer, interrompa e reexplique.","Evidências apresentadas e registradas, com dúvidas pendentes listadas."
76,M005,Júri Cidadão,Passo 11,Deliberação e produção do relatório,"Reserve 2 a 4 dias (conforme o desenho) para deliberar e produzir o relatório. Essa etapa existe porque a entrega do júri é um julgamento informado em forma de recomendações. Organize a redação do relatório com estrutura fixa: recomendações, justificativas, divergências relevantes e condições para execução (o que precisa existir para dar certo). 

Exemplo adequado: recomendações numeradas, cada uma com justificativa e condições. Exemplo inadequado: lista de opiniões sem vínculo com a pergunta e sem justificativa.","Relatório do júri concluído, com recomendações, justificativas e divergências registradas."
77,M005,Júri Cidadão,Passo 12,Publicação e resposta formal,"Publique o relatório e comunique resultados de forma ampla. Essa etapa existe para transparência e credibilidade do processo. Registre a resposta formal: o que será adotado, o que não será adotado e por quê. Se não aceitar recomendações, a justificativa precisa ser detalhada. 

Nota de Atenção: ignorar o relatório ou responder sem justificativa compromete credibilidade e futuras iniciativas.",Relatório publicado e resposta formal registrada (adoção ou justificativa detalhada).
78,M006,Loteria Cívica,Passo 1,Definir o problema e a decisão-alvo,"Nota de enquadramento: a Loteria Cívica é um método de seleção de participantes. Ela não é a escuta em si. Após o sorteio, você deve conjugar este resultado com outra metodologia do toolkit para realizar a escuta efetiva, por exemplo júri cidadão, oficina deliberativa, entrevistas, questionários, instalação interativa ou outro método adequado ao objetivo.

Comece definindo qual problema precisa de deliberação e qual decisão será subsidiada.

Essa etapa existe para evitar sorteio sem propósito e para garantir que o grupo tenha uma tarefa clara. Escreva em uma frase o que o grupo vai produzir ao final, por exemplo recomendações sobre um serviço, critérios de priorização ou propostas de melhoria.

Exemplo de definição adequada: apoiar a priorização de temas de auditoria do TCU, com base em critérios claros e justificáveis, e gerar uma lista priorizada com recomendações de foco.

Exemplo de definição insuficiente: ouvir a população sobre problemas no sistema educacional. Isso é amplo demais, não define qual decisão será tomada e não define qual entrega o grupo deve produzir.",Decisão-alvo e entrega esperada definidas e registradas.
79,M006,Loteria Cívica,Passo 2,Definir formato e barreiras de participação,"Defina se a deliberação será presencial, híbrida ou virtual. Essa etapa existe para evitar um desenho que exclui parte do público por barreira digital, tempo, deslocamento ou acessibilidade.

Se for virtual, escolha a plataforma e defina regras simples de participação: como entrar, como falar, como pedir a palavra e como registrar presença. Preveja suporte técnico básico e testes rápidos antes do primeiro encontro.

Nota de Atenção: 
O virtual pode aumentar participação de quem não consegue se deslocar, mas pode excluir quem tem internet ruim, pouco letramento digital ou falta de privacidade em casa. Se isso for provável, use formato híbrido ou ofereça ponto de apoio presencial.

Exemplo inclusivo: 
encontros virtuais com opção de ponto de apoio (sala com computador e mediador) para quem precisar.

Exemplo excludente:
 100% virtual sem apoio, exigindo câmera e internet estável, em público com alta chance de exclusão digital.","Formato definido (presencial/híbrido/virtual), plataforma escolhida e plano de mitigação de barreiras documentado."
80,M006,Loteria Cívica,Passo 3,Definir população e recorte territorial,"Defina qual população terá chance de ser convidada. Essa etapa existe para evitar convites sem base clara e para garantir que a seleção seja defensável. Escolha um recorte simples, por exemplo residentes de um município, usuários de um serviço ou moradores de um conjunto de bairros. 

Nota de Atenção: se você usar um cadastro frágil ou um recorte mal definido, você perde confiança no processo. Ajuste o recorte antes de enviar convites.",População e recorte territorial definidos e documentados.
81,M006,Loteria Cívica,Passo 4,Estabeleça a Fonte de Dados,"Defina qual será a base usada para sortear os convites. Essa etapa existe para evitar duas falhas comuns: usar uma lista que não representa o público e coletar dados além do necessário.

Regra prática de minimização: no primeiro sorteio, você precisa, no mínimo, de um identificador para envio do convite (por exemplo, endereço). Você não precisa ter dados detalhados do cidadão nesta fase.

Existem três modelos operacionais:

- Convite enviado por terceiro parceiro: o órgão ou entidade que já atende o público no território envia os convites para endereços sorteados na base dele. O TCU não precisa receber a lista completa de nomes e endereços. O TCU passa a ter dados pessoais apenas de quem responde e se voluntaria.

- Convite enviado com base compartilhada formalmente: quando for necessário, o TCU obtém uma base de endereços por compartilhamento institucional formal e usa só para envio do convite. O acesso é restrito, com prazo de retenção curto e descarte após o encerramento da fase de convites.

- Convite por captação em pontos de serviço: quando não há base adequada, use pontos físicos de convite e adesão (por exemplo, locais de atendimento), com registro simples de voluntariado. Isso reduz dependência de listas, mas exige cuidado para não virar convite só de quem frequenta pontos específicos. 

Nota de Atenção: este é um ponto de governança de dados. Envolva a unidade jurídica, de conformidade e governança de dados para validar a base escolhida, o modelo de contato e as regras de retenção e acesso. O TCU já prevê tratamento de dados pessoais no exercício do controle externo com finalidade pública e base legal própria, mas ainda assim a regra operacional é coletar o mínimo, restringir acesso e descartar no prazo.",Determinação de base de dados para envio de convites. 
82,M006,Loteria Cívica,Passo 5,Definir critérios de representatividade,"Dentro do recorte de população, defina quais critérios serão usados para o grupo espelhar o público. Essa etapa existe para reduzir viés e dar legitimidade ao grupo final. Comece com poucos critérios que realmente mudam a experiência no tema, por exemplo gênero, faixa etária e região. 

É importante observar o impacto do problema que se busca consultar em populações vulnerabilizadas. Inclua critérios de equidade, como forma de garantir presença mínima de grupos vulnerabilizados que tendem a ficar de fora. 

Uma seleção que leva em consideração critérios de equidade garante que grupos historicamente sub-representados não desapareçam do grupo por barreiras de participação.

Exemplo de critérios adequados: gênero, raça, idade e região, com regra de proporção e uma regra mínima para não deixar nenhum grupo zerado.

Exemplo de critérios inadequados: selecionar pessoas que representem “a população em geral” sem dizer quais critérios serão usados e sem definir proporções. Isso permite que o grupo final fique concentrado em um perfil mais fácil de recrutar (por exemplo, pessoas com mais tempo e acesso), e não espelhe o público real nem corrija desigualdades de participação.",Critérios de representatividade definidos e priorizados.
83,M006,Loteria Cívica,Passo 6,Definir regras e exclusões,"Defina regras simples de quem pode e quem não pode participar. Essa etapa existe para reduzir conflito de interesse e evitar contestação.

Exemplos comuns de exclusão: 
- pessoas com papel decisório direto no objeto;
- pessoas com conflito de interesse; 
- pessoas fora do território definido.

Nota de Atenção: exclusão excessiva vira barreira e derruba a taxa de participação. Se estiver excluindo muitas pessoas, simplifique as regras.",Regras de elegibilidade e exclusão definidas e registradas.
84,M006,Loteria Cívica,Passo 7,Preparar o pacote de convite,"Prepare um convite que permita a pessoa decidir com segurança se quer se voluntariar. Essa etapa existe para evitar baixa adesão e desistência depois. O convite precisa informar, de forma clara: quem está convidando, qual é o problema, como funciona o processo, regras e exclusões, datas e prazos, como responder, e quais responsabilidades a pessoa assume se for selecionada.

Exemplo bom: convite com datas, duração, ajuda de custo se existir, e tarefas descritas em linguagem simples.

Exemplo ruim: convite vago, sem datas, sem explicar esforço e sem dizer o que acontece depois do “sim”.

Defina a quantidade de voluntários com uma regra simples, baseada num inventário de voluntários e taxa de resposta. Para fechar 15 participantes com representatividade, equidade e suplentes, você não trabalha com 15 respostas. Você precisa primeiro formar uma base de voluntários.

Segundo a literatura especializada, a taxa de adesão à Loteria Cívica tende a ser de 2% a 5%* . Essa taxa de adesão precisa ser considerada no momento de planejamento de quantos convites serão enviados. De tal forma, recomenda-se que para cada 1 vaga, sejam enviados entre 20 e 35 convites.


","Pacote de convite pronto, com informações completas e linguagem simples."
85,M006,Loteria Cívica,Passo 8,Enviar convites com chance igual e prazo razoável,"Faça um sorteio inicial para definir quem recebe convite e envie convites de forma que todos tenham chance semelhante de receber. Essa etapa existe para garantir igualdade de oportunidade e evitar que a seleção vire “convite para conhecidos” ou para quem já acompanha a instituição.

Dê um prazo que seja viável para quem trabalha e cuida de família. 

Regra prática: prazo curto demais derruba respostas e aumenta viés. Inclua no convite a data limite em destaque e deixe claro que a pessoa só precisa dizer sim ou não e informar disponibilidade.

Exemplo adequado: convite por correio enviado para endereços sorteados do território, com prazo de 10 a 14 dias corridos para resposta, e três opções de resposta no mesmo papel: ligar para um número, preencher um cartão destacável e postar, ou entrar em um link curto.

Exemplo inadequado: convite com 48 horas para responder, ou convite enviado apenas por Instagram/e-mail. Isso tende a captar só quem viu a postagem ou quem tem acesso digital fácil, distorce o perfil de voluntários e enfraquece a defensibilidade do sorteio.","Convites enviados por sorteio inicial, com prazo e instruções definidos."
86,M006,Loteria Cívica,Passo 9 ,Coletar respostas com múltiplos canais,"Ofereça mais de um canal de resposta. Essa etapa existe para reduzir barreiras e evitar que o grupo fique enviesado por acesso digital, tempo ou familiaridade com tecnologia.

Defina pelo menos três caminhos simples e equivalentes para a pessoa dizer sim: resposta por formulário de papel (com envelope de retorno ou ponto de coleta), resposta por telefone (com horário de atendimento) e resposta por meio digital (formulário curto). Use o mesmo prazo e as mesmas informações em todos os canais.

Exemplo adequado: a pessoa pode responder por formulário de papel, telefone e meio digital. 
Exemplo inadequado: aceitar apenas inscrição online, o que tende a excluir parte do público e distorcer o perfil de quem se voluntaria.",Sistema de resposta funcionando em múltiplos canais e base de voluntários formada.
87,M006,Loteria Cívica,Passo 10,Registrar e validar voluntários com dados mínimos,"Registre quem respondeu sim e colete apenas dados mínimos para confirmar elegibilidade e aplicar critérios de representatividade. Essa etapa existe para não transformar o processo em cadastro pesado e para não derrubar a taxa de adesão.

Colete somente quatro blocos de informação:
 - contato para retorno;
- confirmação de residência no território definido;
- disponibilidade nas datas; e
- variáveis usadas nos critérios do sorteio (por exemplo gênero, idade e região). 

Se houver formato virtual ou híbrido, inclua uma pergunta simples sobre acesso a internet e dispositivo, apenas para planejar apoio.

Exemplo adequado: nome e contato, bairro/região, faixa etária, gênero autodeclarado, disponibilidade nas datas e uma pergunta curta sobre necessidade de apoio para participar.

Exemplo inadequado: formulário longo pedindo profissão, renda, escolaridade detalhada, documentos, histórico completo e perguntas que não serão usadas no sorteio. Isso aumenta desistência e cria viés.

Nota de Atenção: 
se a taxa de resposta estiver baixa, revise primeiro o convite e os canais de resposta. Ajuste prazo, clareza das datas e facilidade de resposta antes de simplesmente aumentar o número de convites.","Base de voluntários validada, com dados mínimos completos."
88,M006,Loteria Cívica,Passo 11,Fazer limpeza e manter log das mudanças,"Limpe a base antes do sorteio final. Essa etapa existe para garantir rastreabilidade e permitir explicação pública do processo.

Remova duplicidades, registros fora do território e respostas inválidas. Registre tudo em um log simples: o que foi removido e por quê.

",Base limpa e log de alterações concluído.
89,M006,Loteria Cívica,Passo 12,Montar perfis e sortear o grupo final,"Converta critérios em perfis de seleção e sorteie pessoas dentro da base de voluntários para preencher cada perfil. Essa etapa existe para combinar aleatoriedade com representatividade e manter o processo defensável.

Transforme os critérios em uma lista de vagas com perfil definido. 

Exemplo: 1 vaga para mulher, 30 a 44 anos, região norte; 1 vaga para homem, 18 a 29 anos, região sul. Para cada vaga, sorteie apenas entre os voluntários que se encaixam naquele perfil. Registre o resultado do sorteio e guarde a lista de suplentes do mesmo perfil.

Se não houver voluntário para um perfil, aplique uma regra de ajuste que já estava escrita antes do sorteio final. A regra deve dizer qual critério pode ser flexibilizado e qual critério deve ser mantido. Registre quando a regra foi aplicada e qual perfil foi ajustado.

",Grupo final sorteado com base em perfis e regra de ajuste aplicada quando necessário.
90,M006,Loteria Cívica,Passo 13,Confirmar participação e operar suplência,"Confirme participação e prepare suplentes. Essa etapa existe para lidar com desistências sem quebrar a representatividade e para evitar reposição improvisada.

Ligue ou envie mensagem para cada pessoa sorteada e confirme três itens, por escrito: participação nas datas, acesso ao formato definido (presencial, híbrido ou virtual) e concordância com as regras do processo. Dê um prazo curto e claro para resposta. Quem não confirmar dentro do prazo entra como desistência.

Depois, monte a lista de suplentes já correspondente com os perfis. 

Exemplo: se a vaga é do perfil mulher, 30–44 anos, região norte, o suplente deve ser do mesmo perfil. Registre a ordem de chamada e use essa ordem quando houver substituição, sem exceção.",Participação confirmada e lista de suplentes organizada por perfil.
91,M006,Loteria Cívica,Passo 14,Plano de apoio para participação,"Defina apoios práticos para reduzir exclusão e viabilizar presença. Essa etapa existe para não selecionar só quem tem tempo, dinheiro e facilidade para participar.

Liste os apoios que serão oferecidos e como a pessoa solicita, de forma simples. Inclua, quando fizer sentido: transporte ou reembolso, alimentação nos dias de encontro, acessibilidade (intérprete, mobilidade, material em formato acessível) e apoio para cuidado (criança, idoso) quando necessário.

Exemplo adequado: informar no convite se há reembolso de transporte e alimentação, e que a pessoa pode pedir apoio de acessibilidade ou cuidado com antecedência, por telefone ou formulário curto.

Nota de Atenção: sem apoios, você tende a perder participação de grupos que já enfrentam mais barreiras. Se isso acontecer, o grupo final fica menos diverso e o sorteio perde equidade, mesmo que tenha começado aleatório.","Plano de apoio definido, comunicado e com rotina de solicitação organizada."
92,M006,Loteria Cívica,Passo 15,Dossiê de defensibilidade,"Feche com um dossiê simples do processo de seleção. Essa etapa existe para prestação de contas e para permitir auditoria do próprio sorteio, mostrando que a escolha das pessoas foi justa, rastreável e defensável.

O dossiê deve registrar, de forma objetiva: 
- regras e critérios usados;
- quantidade de convites enviados;
-taxa de resposta
- canais de resposta utilizados; 
- como o sorteio foi realizado;
- quais ajustes foram aplicados por falta de voluntários em algum perfil;
-  a composição final do grupo por critérios; e
-  log de mudanças (o que mudou, quando e por quê). 

Evite expor dados pessoais. Quando for preciso identificar participantes, mantenha a lista nominal em documento separado, com controle de acesso.

","Dossiê do sorteio produzido com regras, números-chave, composição do grupo e rastreabilidade."
93,M007,Grupo Focal,Passo 0,Preparação do(a) Moderador(a),"Antes mesmo da definição final do roteiro de perguntas, é recomendável que o(a) moderador(a) realize uma breve etapa de preparação para compreender como o tema investigado aparece na prática no cotidiano das pessoas participantes. Em Grupos Focais, a qualidade da discussão depende diretamente da capacidade do(a) moderador(a) de formular perguntas que façam sentido para o grupo e de reconhecer, durante a conversa, quando temas relevantes estão emergindo. Para isso, além de conhecer o tema do ponto de vista técnico ou institucional, é necessário entender como ele é percebido, nomeado e vivenciado por quem irá participar do encontro.

Conforme indicado por The Focus Group Guidebook, de David L. Morgan, o(a) moderador(a) deve ter familiaridade suficiente com o universo dos(as) participantes para facilitar a conversa, mas não a ponto de assumir o papel de especialista que conduz ou corrige as falas do grupo. Essa familiaridade pode ser construída por meio de conversas informais com pessoas que conhecem o público participante.

O objetivo dessa etapa é compreender como as pessoas pensam e falam sobre o tema; identificar termos e expressões utilizadas no cotidiano; antecipar possíveis mal-entendidos; reconhecer aspectos sensíveis ou potencialmente constrangedores; ajustar a linguagem e o foco das perguntas que serão utilizadas no encontro.

Essa preparação contribui para que o(a) moderador(a) utilize exemplos compreensíveis, formule perguntas claras e evite suposições que possam gerar confusão ou respostas socialmente desejáveis durante a discussão.

Nota de Atenção
A ausência dessa etapa pode levar ao uso de linguagem excessivamente técnica, à formulação de perguntas pouco relevantes para o grupo ou à dificuldade em identificar tensões importantes quando elas surgem durante a conversa. Em auditorias, isso pode resultar em discussões superficiais ou excessivamente alinhadas ao discurso institucional, reduzindo o valor analítico do Grupo Focal.","Moderador(a) familiarizado(a) com o contexto e com o modo como participantes compreendem o tema, com subsídios para ajustar a condução do encontro e o roteiro de perguntas."
94,M007,Grupo Focal,Passo 1,Definição da Questão de Pesquisa e do Cardápio de Perguntas,"Todo processo de Grupo Focal começa pela definição da pergunta de pesquisa que irá orientar a discussão. Essa pergunta funciona como um “guarda-chuva”: ela define o fenômeno que se deseja compreender e orienta tanto a seleção de participantes quanto a construção do roteiro de condução do encontro. A pergunta deve estar alinhada ao objetivo da auditoria e delimitar claramente o que se quer investigar a partir da experiência dos(as) participantes.

Uma boa pergunta de pesquisa é específica o suficiente para orientar a conversa, mas aberta o suficiente para permitir múltiplas perspectivas.

Bom exemplo:

Como auditores(as) juniores compreendem e utilizam critérios de risco na análise de contratos em sua prática cotidiana?

Essa pergunta: foca em um grupo específico; se refere à prática real; permite diferentes interpretações e experiências.

Mau exemplo:

O sistema de análise de risco é eficiente?

Essa pergunta: induz julgamento; não explora práticas; tende a gerar respostas institucionais ou defensivas.

Com a pergunta de pesquisa definida, é necessário construir o cardápio de perguntas (roteiro de condução do Grupo Focal). Conforme indicado por The Focus Group Guidebook, de David L. Morgan, o Grupo Focal não deve ser conduzido com uma lista extensa de perguntas, como em uma entrevista estruturada. Em vez disso, o(a) moderador(a) deve organizar um conjunto reduzido de perguntas abertas que ajudem o grupo a avançar progressivamente na discussão.

Recomenda-se a elaboração de:

- 1 pergunta de abertura (para aquecimento);
- 2 a 3 perguntas exploratórias (sobre experiências e práticas);
- 1 ou 2 perguntas de aprofundamento (sobre dificuldades ou tensões);
- 1 pergunta final de síntese.

Essas perguntas devem ser organizadas do mais geral ao mais específico, permitindo que o grupo construa confiança antes de abordar temas mais sensíveis.

Exemplo de cardápio:

Abertura:
Quando vocês pensam na análise de risco em contratos, o que costuma vir primeiro à mente?

Exploração:
Como esse processo acontece na prática no dia a dia?
Que tipo de informação vocês costumam priorizar?

Aprofundamento:
Em que momentos surgem dúvidas ou inseguranças nessa análise?
Existem situações em que os critérios formais não parecem suficientes?

Síntese:
O que poderia melhorar para que essa análise fosse mais confiável na prática?

O cardápio de perguntas funciona como um guia flexível. O(a) moderador(a) pode adaptar a ordem ou explorar novos temas que emergirem da conversa, desde que mantenha o foco na pergunta de pesquisa inicial.

Nota de Atenção
Seguir rigidamente o roteiro pode transformar o Grupo Focal em uma sequência de perguntas e respostas individuais. O objetivo não é “cobrir” todas as perguntas, mas estimular a interação entre participantes. Muitas vezes, os dados mais relevantes surgem de comentários espontâneos entre participantes, e não de respostas diretas ao(à) moderador(a).",Pergunta de pesquisa validada e cardápio de perguntas elaborado para orientar a condução do Grupo Focal.
95,M007,Grupo Focal,Passo 2,Definição de Moderador(a) e Pessoas Participantes,"Agora é preciso decidir quem irá moderar o encontro e quem deve participar da conversa.

O grupo deve incluir pessoas que tenham vivido experiências parecidas em relação ao tema (base comum). Isso é chamado de “homogeneidade funcional”.

Por exemplo:

pessoas que executam a mesma política;

pessoas que usam o mesmo serviço;

pessoas que ocupam cargos semelhantes.

Grupos com esse tipo de semelhança:

se sentem mais à vontade para falar;

entendem o contexto umas das outras;

entram na conversa mais rapidamente.

Evite colocar chefias e subordinados no mesmo grupo. Relações de poder podem inibir falas críticas.

Nota de Atenção — Perfil do(a) Moderador(a)

A qualidade dos resultados de um Focus Group depende diretamente de como ele é conduzido. A pessoa facilitadora exerce um papel de liderança durante a atividade e influencia o nível de abertura, confiança e profundidade das respostas do grupo (David L. Morgan, 1998). Por isso, a escolha de quem irá facilitar deve considerar como essa pessoa será percebida pelas participantes e pelos participantes.

Uma pessoa facilitadora interna pode agregar valor por já ser conhecida pelo grupo, entender o contexto institucional e utilizar a linguagem do cotidiano de trabalho — por exemplo, ao conduzir uma discussão sobre fluxos operacionais em que a familiaridade reduz o tempo de explicação e aumenta a fluidez da conversa. Por outro lado, quando o tema envolve falhas, riscos ou dificuldades, uma pessoa facilitadora externa pode ser percebida como mais neutra e sem poder de avaliação, aumentando a segurança para compartilhar experiências — por exemplo, em discussões sobre desafios no cumprimento de normas ou limitações de processos internos.",Perfil de participantes definido com base em experiência comum.
96,M007,Grupo Focal,Passo 3,Convite e Logística,"Ao convidar as pessoas:

Verifique a disponibilidade do grupo para definição da data.
Explique que não se trata de avaliação individual; diga quanto tempo vai durar (60 a 90 minutos); informe que a conversa será confidencial; reforce que não há respostas certas ou erradas.

Nota de atenção: a seleção baseada apenas em disponibilidade pode excluir vozes relevantes para a compreensão do tema. Importante oferecer algum incentivo (como remuneração pelo tempo das pessoas, por exemplo). Certifique-se que: caso virtual, as pessoas possuem o software mais atual e possuem internet estável. Caso presencial, recebam direcionamento para locomoção até o encontro.",Grupo informado e aspectos logísticos resolvidos.
97,M007,Grupo Focal,Passo 4,Condução da Discussão,"No início do encontro, determine as regras de interação (uso do tempo de fala, etique virtual...) assim como reforce o motivo do encontro e o que é esperado. Relembre sobre a anonimização das informações e a devolutiva após sistematização dos achados.

Após, faça um breve quebra-gelo ligado ao tema.
Exemplo:
“Para começar, cada pessoa poderia compartilhar algo que costuma dificultar o trabalho nessa área?”

Esse tipo de pergunta: é simples; ativa experiências reais; ajuda o grupo a se reconhecer.

Boa condução:
“Fiquem à vontade para compartilhar apenas o que se sentirem confortáveis.”

Má condução:
“Precisamos ser honestos aqui.”

A segunda frase pode gerar medo de exposição.

Durante a conversa: incentive que as pessoas falem entre si; peça exemplos; explore diferenças de opinião; evite comentar ou avaliar respostas. O objetivo não é chegar a consenso, mas entender como as pessoas veem o tema.

Boa condução:
“Alguém teve uma experiência diferente?”

Má condução:
“Mas a norma diz que isso deve ser feito de outro jeito.”

A segunda frase pode fazer o grupo evitar críticas.

Silêncios são normais. Aguarde alguns segundos antes de falar novamente.

Boa condução:
Esperar após fazer uma pergunta.

Má condução:
Responder a própria pergunta.

Evite traduzir falas para linguagem institucional.

Boa condução:
“Você pode explicar melhor o que aconteceu?”

Má condução:
“Então houve falha no fluxo?”

A segunda versão interpreta e pode distorcer o sentido.

Nota de atenção: atente para pessoas tímidas ou caladas. Tenha atenção quanto a dinâmicas de raça e gênero (por exemplo, mulheres e pessoas racializadas tendem a se expor menos do que homens brancos). Sempre que pertinente, chame as pessoas pelo nome e peça sua opinição diretamente caso sinta que elas não estão interagindo na mesma frequência das demais.",Discussão realizada com participação equilibrada.
98,M007,Grupo Focal,Passo 5,Análise das Interações,"Após o encontro, revise as anotações ou gravação. Caso o encontro não possa ser gravado, certifique-se de ter uma pessoa auxiliar tomando notas.

Observe: onde houve concordância; onde houve discordância; quando alguém mudou de opinião; quais argumentos foram aceitos pelo grupo;
quais temas foram evitados. Preste atenção não só no que foi dito, mas em como foi dito.

Por exemplo: risos podem indicar desconforto; silêncio pode indicar risco percebido; frases como “sempre foi assim” indicam norma informal.",Padrões coletivos identificados.
